Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.28737E-4,25.007783971,0.517916786,0.181845297,0.224137931,0
2.29989E-4,25.260252767,0.519838417,0.18075164,0.224137931,0
2.31936E-4,25.514106846,0.522811304,0.179657984,0.224137931,0
2.33353E-4,25.769976782,0.524962948,0.178564327,0.224137931,0
2.3548E-4,26.004494642,0.528174322,0.177570093,0.224137931,0
2.37271E-4,26.264762207,0.530862199,0.176476437,0.224137931,0
2.38163E-4,26.502592217,0.532195698,0.175482203,0.24137931,0
2.3963E-4,26.765474766,0.534380205,0.174388546,0.24137931,0
2.41442E-4,27.006314335,0.537063228,0.173394313,0.24137931,0
2.43205E-4,27.272877119,0.539659533,0.172300656,0.24137931,0
2.43982E-4,27.51646821,0.540799673,0.171306423,0.24137931,0
2.45278E-4,27.761086865,0.542694128,0.170312189,0.24137931,0
2.46044E-4,28.006712882,0.543809136,0.169317956,0.24137931,0
2.47919E-4,28.254094817,0.546530175,0.168323722,0.24137931,0
2.49983E-4,28.503198013,0.549505507,0.167329489,0.24137931,0
2.5113E-4,28.753690579,0.551150985,0.166335256,0.24137931,0
2.52911E-4,29.005570744,0.553693789,0.165341022,0.24137931,0
2.54578E-4,29.259153486,0.556061243,0.164346789,0.24137931,0
2.56208E-4,29.514881811,0.558362292,0.163352555,0.25862069,0
2.56968E-4,29.771600276,0.559432819,0.162358322,0.25862069,0
2.58155E-4,30.003453955,0.56109693,0.161463512,0.25862069,0
2.59237E-4,30.26217113,0.562609858,0.160469278,0.275862069,0
2.59898E-4,30.521766411,0.563530909,0.159475045,0.293103448,0
2.6141E-4,30.75659507,0.565630861,0.158580235,0.310344828,0
2.62577E-4,31.018554621,0.567244402,0.157586001,0.310344828,0
2.64558E-4,31.255803184,0.569971202,0.156691191,0.310344828,0
2.65956E-4,31.521320976,0.57188394,0.155696958,0.310344828,0
2.6731E-4,31.761395666,0.573729071,0.154802148,0.310344828,0
2.68738E-4,32.002796773,0.575666842,0.153907337,0.310344828,0
2.70208E-4,32.272454518,0.57765203,0.152913104,0.310344828,0
2.71284E-4,32.516117038,0.579098027,0.152018294,0.310344828,0
2.72718E-4,32.761094665,0.581020162,0.151123484,0.327586207,0
2.74521E-4,33.007282234,0.583421893,0.150228674,0.327586207,0
2.75569E-4,33.254843296,0.584812764,0.149333864,0.327586207,0
2.77386E-4,33.503522404,0.587212317,0.148439053,0.327586207,0
2.79053E-4,33.753860812,0.589400789,0.147544243,0.327586207,0
2.8031E-4,34.005519073,0.591043727,0.146649433,0.327586207,0
2.81753E-4,34.25855941,0.592922898,0.145754623,0.327586207,0
2.82987E-4,34.512688346,0.59452207,0.144859813,0.327586207,0
2.84218E-4,34.767891148,0.596110685,0.143965003,0.327586207,0
2.8532E-4,35.024237355,0.597528299,0.143070193,0.327586207,0
2.87017E-4,35.253229479,0.599700508,0.142274806,0.327586207,0
2.88693E-4,35.512239291,0.601835251,0.141379996,0.327586207,0
2.89542E-4,35.772515231,0.602911358,0.140485186,0.327586207,0
2.90821E-4,36.004925834,0.604529022,0.139689799,0.327586207,0
2.925E-4,36.267718119,0.606641704,0.138794989,0.327586207,0
2.93792E-4,36.502257632,0.608258339,0.137999602,0.327586207,0
2.95106E-4,36.767042398,0.609897035,0.137104792,0.327586207,0
2.96214E-4,37.00357293,0.611273862,0.136309405,0.327586207,0
2.97381E-4,37.270724237,0.612718565,0.135414595,0.344827586,0
2.98521E-4,37.509235496,0.614124237,0.134619209,0.344827586,0
2.99435E-4,37.778466248,0.615247098,0.133724398,0.344827586,0
3.00114E-4,38.018308468,0.616079756,0.132929012,0.344827586,0
3.01431E-4,38.258990404,0.617688673,0.132133625,0.344827586,0
3.02654E-4,38.500679531,0.619177936,0.131338238,0.344827586,0
3.03782E-4,38.77355047,0.620545011,0.130443428,0.362068966,0
3.04331E-4,39.016802192,0.621209036,0.129648041,0.362068966,0
3.05167E-4,39.260683698,0.622218029,0.128852655,0.362068966,0
3.05671E-4,39.505080078,0.622824603,0.128057268,0.362068966,0
3.06395E-4,39.78060014,0.623695767,0.127162458,0.362068966,0
3.07583E-4,40.026269025,0.625119121,0.126367071,0.379310345,0
3.09051E-4,40.273204977,0.626870095,0.125571684,0.379310345,0
3.10114E-4,40.520793565,0.628132998,0.124776297,0.379310345,0
3.11048E-4,40.769295014,0.629239531,0.123980911,0.379310345,0
3.11946E-4,41.018522442,0.630300182,0.123185524,0.379310345,0
3.12763E-4,41.268450019,0.631261751,0.122390137,0.379310345,0
3.13453E-4,41.51899375,0.632072721,0.12159475,0.379310345,0
3.14817E-4,41.770545608,0.633670194,0.120799364,0.379310345,0
3.16922E-4,42.023336778,0.636121393,0.120003977,0.379310345,0
3.17782E-4,42.277271882,0.637118873,0.11920859,0.396551724,0
3.18588E-4,42.500004818,0.638050047,0.118512627,0.396551724,0
3.19876E-4,42.755436043,0.639534606,0.11771724,0.396551724,0
3.20467E-4,43.011662538,0.640213367,0.116921853,0.396551724,0
3.21574E-4,43.268634041,0.641481591,0.116126466,0.413793103,0
3.22585E-4,43.52627599,0.642635869,0.11533108,0.413793103,0
3.23693E-4,43.752498687,0.643896757,0.114635116,0.413793103,0
3.24617E-4,44.011896345,0.644944909,0.11383973,0.413793103,0
3.26039E-4,44.272089963,0.646551892,0.113044343,0.413793103,0
3.27317E-4,44.500607446,0.647989716,0.112348379,0.413793103,0
3.28266E-4,44.762934189,0.649053413,0.111552993,0.413793103,0
3.29243E-4,45.025914884,0.650145474,0.110757606,0.431034483,0
3.30185E-4,45.256818747,0.65119534,0.110061642,0.431034483,0
3.30952E-4,45.521220405,0.652047136,0.109266256,0.431034483,0
3.31946E-4,45.753256835,0.65314908,0.108570292,0.431034483,0
3.33231E-4,46.019566319,0.654567639,0.107774906,0.431034483,0
3.3353E-4,46.252941562,0.654896673,0.107078942,0.431034483,0
3.35441E-4,46.520572126,0.65699402,0.106283555,0.431034483,0
3.36468E-4,46.755785403,0.658116156,0.105587592,0.431034483,0
3.37701E-4,47.025628468,0.659458087,0.104792205,0.431034483,0
3.39241E-4,47.262594374,0.661126691,0.104096242,0.431034483,0
3.4001E-4,47.500292742,0.661956989,0.103400278,0.431034483,0
3.40847E-4,47.772802676,0.662858502,0.102604892,0.448275862,0
3.41506E-4,48.011668729,0.663566612,0.101908928,0.448275862,0
3.43052E-4,48.251529313,0.66522159,0.101212965,0.448275862,0
3.44055E-4,48.526369599,0.666290861,0.100417578,0.448275862,0
3.45541E-4,48.767873342,0.667868748,0.099721615,0.448275862,0
3.45819E-4,49.009842729,0.668163192,0.099025651,0.448275862,0
3.46774E-4,49.252337002,0.669173231,0.098329688,0.465517241,0
3.47839E-4,49.530087813,0.670294913,0.097534301,0.465517241,0
3.49436E-4,49.774252062,0.671970028,0.096838338,0.465517241,0
3.50207E-4,50.019227091,0.672776331,0.096142374,0.465517241,0
3.51585E-4,50.26477843,0.674211297,0.095446411,0.465517241,0
3.53134E-4,50.511616392,0.675816517,0.094750447,0.465517241,0
3.54552E-4,50.759322789,0.677280127,0.094054484,0.482758621,0
3.56606E-4,51.008574784,0.679386956,0.093358521,0.482758621,0
